Authors,Journal,Title,Year,PMCID,PMID,URL,Impact Factor
"Khoa, L. T. P., Yang, W., Shan, M., Zhang, L., Mao, F., Zhou, B., Li, Q., Malcore, R., Harris, C., Zhao, L., Rao, R. C., Iwase, S., Kalantry, S., Bielas, S. L., Lyssiotis, C. A. and Dou, Y.",Nat Commun,Quiescence enables unrestricted cell fate in naive embryonic stem cells,2024,PMC10897426,38409226,https://www.ncbi.nlm.nih.gov/pubmed/38409226,14.7
"Kim, I. K., Diamond, M. S., Yuan, S., Kemp, S. B., Kahn, B. M., Li, Q., Lin, J. H., Li, J., Norgard, R. J., Thomas, S. K., Merolle, M., Katsuda, T., Tobias, J. W., Baslan, T., Politi, K., Vonderheide, R. H. and Stanger, B. Z.",Nat Commun,Plasticity-induced repression of Irf6 underlies acquired resistance to cancer immunotherapy in pancreatic ductal adenocarcinoma,2024,PMC10879147,38378697,https://www.ncbi.nlm.nih.gov/pubmed/38378697,14.7
"Kim, W. K., Buckley, A. J., Lee, D. H., Hiroto, A., Nenninger, C. H., Olson, A. W., Wang, J., Li, Z., Vikram, R., Adzavon, Y. M., Yau, T. Y., Bao, Y., Kahn, M., Geradts, J., Xiao, G. Q. and Sun, Z.",Nat Commun,Androgen deprivation induces double-null prostate cancer via aberrant nuclear export and ribosomal biogenesis through HGF and Wnt activation,2024,PMC10858246,38336745,https://www.ncbi.nlm.nih.gov/pubmed/38336745,14.7
"Kim, Y. Y., Gryder, B. E., Sinniah, R., Peach, M. L., Shern, J. F., Abdelmaksoud, A., Pomella, S., Woldemichael, G. M., Stanton, B. Z., Milewski, D., Barchi, J. J., Jr., Schneekloth, J. S., Jr., Chari, R., Kowalczyk, J. T., Shenoy, S. R., Evans, J. R., Song, Y. K., Wang, C., Wen, X., Chou, H. C., Gangalapudi, V., Esposito, D., Jones, J., Procter, L., O'Neill, M., Jenkins, L. M., Tarasova, N. I., Wei, J. S., McMahon, J. B., O'Keefe, B. R., Hawley, R. G. and Khan, J.",Nat Commun,KDM3B inhibitors disrupt the oncogenic activity of PAX3-FOXO1 in fusion-positive rhabdomyosarcoma,2024,PMC10894237,38402212,https://www.ncbi.nlm.nih.gov/pubmed/38402212,14.7
"Lauss, M., Phung, B., Borch, T. H., Harbst, K., Kaminska, K., Ebbesson, A., Hedenfalk, I., Yuan, J., Nielsen, K., Ingvar, C., Carneiro, A., Isaksson, K., Pietras, K., Svane, I. M., Donia, M. and Jonsson, G.",Nat Commun,Molecular patterns of resistance to immune checkpoint blockade in melanoma,2024,PMC11004175,38594286,https://www.ncbi.nlm.nih.gov/pubmed/38594286,14.7
"Lee, C. Y. C., Kennedy, B. C., Richoz, N., Dean, I., Tuong, Z. K., Gaspal, F., Li, Z., Willis, C., Hasegawa, T., Whiteside, S. K., Posner, D. A., Carlesso, G., Hammond, S. A., Dovedi, S. J., Roychoudhuri, R., Withers, D. R. and Clatworthy, M. R.",Nat Commun,Tumour-retained activated CCR7(+) dendritic cells are heterogeneous and regulate local anti-tumour cytolytic activity,2024,PMC10808534,38267413,https://www.ncbi.nlm.nih.gov/pubmed/38267413,14.7
"Lee, M. K., Azizgolshani, N., Shapiro, J. A., Nguyen, L. N., Kolling, F. W., Zanazzi, G. J., Frost, H. R. and Christensen, B. C.",Nat Commun,Identifying tumor type and cell type-specific gene expression alterations in pediatric central nervous system tumors,2024,PMC11061189,38688897,https://www.ncbi.nlm.nih.gov/pubmed/38688897,14.7
"Lee, S. E., Park, S., Yi, S., Choi, N. R., Lim, M. A., Chang, J. W., Won, H. R., Kim, J. R., Ko, H. M., Chung, E. J., Park, Y. J., Cho, S. W., Yu, H. W., Choi, J. Y., Yeo, M. K., Yi, B., Yi, K., Lim, J., Koh, J. Y., Lee, M. J., Heo, J. Y., Yoon, S. J., Kwon, S. W., Park, J. L., Chu, I. S., Kim, J. M., Kim, S. Y., Shan, Y., Liu, L., Hong, S. A., Choi, D. W., Park, J. O., Ju, Y. S., Shong, M., Kim, S. K., Koo, B. S. and Kang, Y. E.",Nat Commun,Unraveling the role of the mitochondrial one-carbon pathway in undifferentiated thyroid cancer by multi-omics analyses,2024,PMC10853200,38331894,https://www.ncbi.nlm.nih.gov/pubmed/38331894,14.7
"Leonard-Murali, S., Bhaskarla, C., Yadav, G. S., Maurya, S. K., Galiveti, C. R., Tobin, J. A., Kann, R. J., Ashwat, E., Murphy, P. S., Chakka, A. B., Soman, V., Cantalupo, P. G., Zhuo, X., Vyas, G., Kozak, D. L., Kelly, L. M., Smith, E., Chandran, U. R., Hsu, Y. S. and Kammula, U. S.",Nat Commun,Uveal melanoma immunogenomics predict immunotherapy resistance and susceptibility,2024,PMC11021475,38627362,https://www.ncbi.nlm.nih.gov/pubmed/38627362,14.7
"Li, W., Pan, L., Hong, W., Ginhoux, F., Zhang, X., Xiao, C. and Li, X.",Nat Commun,A single-cell pan-cancer analysis to show the variability of tumor-infiltrating myeloid cells in immune checkpoint blockade,2024,PMC11271490,39034339,https://www.ncbi.nlm.nih.gov/pubmed/39034339,14.7
"Li, Y., Wang, B., Yang, W., Ma, F., Zou, J., Li, K., Tan, S., Feng, J., Wang, Y., Qin, Z., Chen, Z. and Ding, C.",Nat Commun,Longitudinal plasma proteome profiling reveals the diversity of biomarkers for diagnosis and cetuximab therapy response of colorectal cancer,2024,PMC10834432,38302471,https://www.ncbi.nlm.nih.gov/pubmed/38302471,14.7
"Lin, C. C., Chang, T. C., Wang, Y., Guo, L., Gao, Y., Bikorimana, E., Lemoff, A., Fang, Y. V., Zhang, H., Zhang, Y., Ye, D., Soria-Bretones, I., Servetto, A., Lee, K. M., Luo, X., Otto, J. J., Akamatsu, H., Napolitano, F., Mani, R., Cescon, D. W., Xu, L., Xie, Y., Mendell, J. T., Hanker, A. B. and Arteaga, C. L.",Nat Commun,PRMT5 is an actionable therapeutic target in CDK4/6 inhibitor-resistant ER+/RB-deficient breast cancer,2024,PMC10937713,38480701,https://www.ncbi.nlm.nih.gov/pubmed/38480701,14.7
"Liu, M., Bertolazzi, G., Sridhar, S., Lee, R. X., Jaynes, P., Mulder, K., Syn, N., Hoppe, M. M., Fan, S., Peng, Y., Thng, J., Chua, R., Jayalakshmi, Batumalai, Y., De Mel, S., Poon, L., Chan, E. H. L., Lee, J., Hue, S. S., Chang, S. T., Chuang, S. S., Chandy, K. G., Ye, X., Pan-Hammarstrom, Q., Ginhoux, F., Chee, Y. L., Ng, S. B., Tripodo, C. and Jeyasekharan, A. D.",Nat Commun,Spatially-resolved transcriptomics reveal macrophage heterogeneity and prognostic significance in diffuse large B-cell lymphoma,2024,PMC10923916,38459052,https://www.ncbi.nlm.nih.gov/pubmed/38459052,14.7
"Liu, Q., Adhikari, E., Lester, D. K., Fang, B., Johnson, J. O., Tian, Y., Mockabee-Macias, A. T., Izumi, V., Guzman, K. M., White, M. G., Koomen, J. M., Wargo, J. A., Messina, J. L., Qi, J. and Lau, E. K.",Nat Commun,Androgen drives melanoma invasiveness and metastatic spread by inducing tumorigenic fucosylation,2024,PMC10850104,38326303,https://www.ncbi.nlm.nih.gov/pubmed/38326303,14.7
"Liu, S. J., Casey-Clyde, T., Cho, N. W., Swinderman, J., Pekmezci, M., Dougherty, M. C., Foster, K., Chen, W. C., Villanueva-Meyer, J. E., Swaney, D. L., Vasudevan, H. N., Choudhury, A., Pak, J., Breshears, J. D., Lang, U. E., Eaton, C. D., Hiam-Galvez, K. J., Stevenson, E., Chen, K. H., Lien, B. V., Wu, D., Braunstein, S. E., Sneed, P. K., Magill, S. T., Lim, D., McDermott, M. W., Berger, M. S., Perry, A., Krogan, N. J., Hansen, M. R., Spitzer, M. H., Gilbert, L., Theodosopoulos, P. V. and Raleigh, D. R.",Nat Commun,Epigenetic reprogramming shapes the cellular landscape of schwannoma,2024,PMC10786948,38216587,https://www.ncbi.nlm.nih.gov/pubmed/38216587,14.7
"Liu, X., Zhang, K., Kaya, N. A., Jia, Z., Wu, D., Chen, T., Liu, Z., Zhu, S., Hillmer, A. M., Wuestefeld, T., Liu, J., Chan, Y. S., Hu, Z., Ma, L., Jiang, L. and Zhai, W.",Nat Commun,Tumor phylogeography reveals block-shaped spatial heterogeneity and the mode of evolution in Hepatocellular Carcinoma,2024,PMC11015015,38609353,https://www.ncbi.nlm.nih.gov/pubmed/38609353,14.7
"Liu, Y., Shi, L., Chen, Y., Luo, S., Chen, Y., Chen, H., Lan, W., Lu, X., Cao, Z., Ye, Z., Li, J., Yu, B., Dzierzak, E. and Li, Z.",Nat Commun,Autophagy regulates the maturation of hematopoietic precursors in the embryo,2024,PMC10943005,38490977,https://www.ncbi.nlm.nih.gov/pubmed/38490977,14.7
"Liu, Z. L., Meng, X. Y., Bao, R. J., Shen, M. Y., Sun, J. J., Chen, W. D., Liu, F. and He, Y.",Nat Commun,Single cell deciphering of progression trajectories of the tumor ecosystem in head and neck cancer,2024,PMC10959966,38519500,https://www.ncbi.nlm.nih.gov/pubmed/38519500,14.7
"Lopez-Polo, V., Maus, M., Zacharioudakis, E., Lafarga, M., Attolini, C. S., Marques, F. D. M., Kovatcheva, M., Gavathiotis, E. and Serrano, M.",Nat Commun,Release of mitochondrial dsRNA into the cytosol is a key driver of the inflammatory phenotype of senescent cells,2024,PMC11349883,39191740,https://www.ncbi.nlm.nih.gov/pubmed/39191740,14.7
"Lu, J. C., Wu, L. L., Sun, Y. N., Huang, X. Y., Gao, C., Guo, X. J., Zeng, H. Y., Qu, X. D., Chen, Y., Wu, D., Pei, Y. Z., Meng, X. L., Zheng, Y. M., Liang, C., Zhang, P. F., Cai, J. B., Ding, Z. B., Yang, G. H., Ren, N., Huang, C., Wang, X. Y., Gao, Q., Sun, Q. M., Shi, Y. H., Qiu, S. J., Ke, A. W., Shi, G. M., Zhou, J., Sun, Y. D. and Fan, J.",Nat Commun,Macro CD5L(+) deteriorates CD8(+)T cells exhaustion and impairs combination of Gemcitabine-Oxaliplatin-Lenvatinib-anti-PD1 therapy in intrahepatic cholangiocarcinoma,2024,PMC10799889,38245530,https://www.ncbi.nlm.nih.gov/pubmed/38245530,14.7
"Luo, Z., Huang, Y., Batra, N., Chen, Y., Huang, H., Wang, Y., Zhang, Z., Li, S., Chen, C. Y., Wang, Z., Sun, J., Wang, Q. J., Yang, D., Lu, B., Conway, J. F., Li, L. Y., Yu, A. M. and Li, S.",Nat Commun,Inhibition of iRhom1 by CD44-targeting nanocarrier for improved cancer immunochemotherapy,2024,PMC10766965,38177179,https://www.ncbi.nlm.nih.gov/pubmed/38177179,14.7
"Martins, L. R., Sieverling, L., Michelhans, M., Schiller, C., Erkut, C., Grunewald, T. G. P., Triana, S., Frohling, S., Velten, L., Glimm, H. and Scholl, C.",Nat Commun,Single-cell division tracing and transcriptomics reveal cell types and differentiation paths in the regenerating lung,2024,PMC10933319,38472236,https://www.ncbi.nlm.nih.gov/pubmed/38472236,14.7
"McDonald, J. T., Kim, J., Farmerie, L., Johnson, M. L., Trovao, N. S., Arif, S., Siew, K., Tsoy, S., Bram, Y., Park, J., Overbey, E., Ryon, K., Haltom, J., Singh, U., Enguita, F. J., Zaksas, V., Guarnieri, J. W., Topper, M., Wallace, D. C., Meydan, C., Baylin, S., Meller, R., Muratani, M., Porterfield, D. M., Kaufman, B., Mori, M. A., Walsh, S. B., Sigaudo-Roussel, D., Mebarek, S., Bottini, M., Marquette, C. A., Wurtele, E. S., Schwartz, R. E., Galeano, D., Mason, C. E., Grabham, P. and Beheshti, A.",Nat Commun,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,2024,PMC11166944,38862542,https://www.ncbi.nlm.nih.gov/pubmed/38862542,14.7
"Mennillo, E., Kim, Y. J., Lee, G., Rusu, I., Patel, R. K., Dorman, L. C., Flynn, E., Li, S., Bain, J. L., Andersen, C., Rao, A., Tamaki, S., Tsui, J., Shen, A., Lotstein, M. L., Rahim, M., Naser, M., Bernard-Vazquez, F., Eckalbar, W., Cho, S. J., Beck, K., El-Nachef, N., Lewin, S., Selvig, D. R., Terdiman, J. P., Mahadevan, U., Oh, D. Y., Fragiadakis, G. K., Pisco, A., Combes, A. J. and Kattah, M. G.",Nat Commun,Single-cell and spatial multi-omics highlight effects of anti-integrin therapy across cellular compartments in ulcerative colitis,2024,PMC10876948,38374043,https://www.ncbi.nlm.nih.gov/pubmed/38374043,14.7
"Mercado-Evans, V., Mejia, M. E., Zulk, J. J., Ottinger, S., Hameed, Z. A., Serchejian, C., Marunde, M. G., Robertson, C. M., Ballard, M. B., Ruano, S. H., Korotkova, N., Flores, A. R., Pennington, K. A. and Patras, K. A.",Nat Commun,Gestational diabetes augments group B Streptococcus infection by disrupting maternal immunity and the vaginal microbiota,2024,PMC10838280,38310089,https://www.ncbi.nlm.nih.gov/pubmed/38310089,14.7
"Min, H., Liang, X., Wang, C., Qin, J., Boonhok, R., Muneer, A., Brashear, A. M., Li, X., Minns, A. M., Adapa, S. R., Jiang, R. H. Y., Ning, G., Cao, Y., Lindner, S. E., Miao, J. and Cui, L.",Nat Commun,The DEAD-box RNA helicase PfDOZI imposes opposing actions on RNA metabolism in Plasmodium falciparum,2024,PMC11068891,38702310,https://www.ncbi.nlm.nih.gov/pubmed/38702310,14.7
"Mittal, P., Myers, J. A., Carter, R. D., Radko-Juettner, S., Malone, H. A., Rosikiewicz, W., Robertson, A. N., Zhu, Z., Narayanan, I. V., Hansen, B. S., Parrish, M., Bhanu, N. V., Mobley, R. J., Rehg, J. E., Xu, B., Drosos, Y., Pruett-Miller, S. M., Ljungman, M., Garcia, B. A., Wu, G., Partridge, J. F. and Roberts, C. W. M.",Nat Commun,PHF6 cooperates with SWI/SNF complexes to facilitate transcriptional progression,2024,PMC11344777,39181868,https://www.ncbi.nlm.nih.gov/pubmed/39181868,14.7
"Morizet, D., Foucher, I., Alunni, A. and Bally-Cuif, L.",Nat Commun,Reconstruction of macroglia and adult neurogenesis evolution through cross-species single-cell transcriptomic analyses,2024,PMC11024210,38632253,https://www.ncbi.nlm.nih.gov/pubmed/38632253,14.7
"Morton, L. M., Lee, O. W., Karyadi, D. M., Bogdanova, T. I., Stewart, C., Hartley, S. W., Breeze, C. E., Schonfeld, S. J., Cahoon, E. K., Drozdovitch, V., Masiuk, S., Chepurny, M., Zurnadzhy, L. Y., Dai, J., Krznaric, M., Yeager, M., Hutchinson, A., Hicks, B. D., Dagnall, C. L., Steinberg, M. K., Jones, K., Jain, K., Jordan, B., Machiela, M. J., Dawson, E. T., Vij, V., Gastier-Foster, J. M., Bowen, J., Mabuchi, K., Hatch, M., Berrington de Gonzalez, A., Getz, G., Tronko, M. D., Thomas, G. A. and Chanock, S. J.",Nat Commun,Genomic characterization of cervical lymph node metastases in papillary thyroid carcinoma following the Chornobyl accident,2024,PMC11176192,38871684,https://www.ncbi.nlm.nih.gov/pubmed/38871684,14.7
"Mueller, L. M., Isaacson, A., Wilson, H., Salowka, A., Tay, I., Gong, M., Elbarbary, N. S., Raile, K. and Spagnoli, F. M.",Nat Commun,Heterozygous missense variant in GLI2 impairs human endocrine pancreas development,2024,PMC10954617,38509065,https://www.ncbi.nlm.nih.gov/pubmed/38509065,14.7
"Mulet-Lazaro, R., van Herk, S., Nuetzel, M., Sijs-Szabo, A., Diaz, N., Kelly, K., Erpelinck-Verschueren, C., Schwarzfischer-Pfeilschifter, L., Stanewsky, H., Ackermann, U., Glatz, D., Raithel, J., Fischer, A., Pohl, S., Rijneveld, A., Vaquerizas, J. M., Thiede, C., Plass, C., Wouters, B. J., Delwel, R., Rehli, M. and Gebhard, C.",Nat Commun,Epigenetic alterations affecting hematopoietic regulatory networks as drivers of mixed myeloid/lymphoid leukemia,2024,PMC11228033,38972954,https://www.ncbi.nlm.nih.gov/pubmed/38972954,14.7
"Nacev, B. A., Dabas, Y., Paul, M. R., Pacheco, C., Mitchener, M., Perez, Y., Fang, Y., Soshnev, A. A., Barrows, D., Carroll, T., Socci, N. D., St Jean, S. C., Tiwari, S., Gruss, M. J., Monette, S., Tap, W. D., Garcia, B. A., Muir, T. and Allis, C. D.",Nat Commun,Cancer-associated Histone H3 N-terminal arginine mutations disrupt PRC2 activity and impair differentiation,2024,PMC11183192,38886411,https://www.ncbi.nlm.nih.gov/pubmed/38886411,14.7
"Noe, M., Mathios, D., Annapragada, A. V., Koul, S., Foda, Z. H., Medina, J. E., Cristiano, S., Cherry, C., Bruhm, D. C., Niknafs, N., Adleff, V., Ferreira, L., Easwaran, H., Baylin, S., Phallen, J., Scharpf, R. B. and Velculescu, V. E.",Nat Commun,DNA methylation and gene expression as determinants of genome-wide cell-free DNA fragmentation,2024,PMC11303779,39107309,https://www.ncbi.nlm.nih.gov/pubmed/39107309,14.7
"Ohara, K., Rendeiro, A. F., Bhinder, B., Eng, K. W., Ravichandran, H., Nguyen, D., Pisapia, D., Vosoughi, A., Fernandez, E., Shohdy, K. S., Manohar, J., Beg, S., Wilkes, D., Robinson, B. D., Khani, F., Bareja, R., Tagawa, S. T., Ouseph, M. M., Sboner, A., Elemento, O., Faltas, B. M. and Mosquera, J. M.",Nat Commun,The evolution of metastatic upper tract urothelial carcinoma through genomic-transcriptomic and single-cell protein markers analysis,2024,PMC10948878,38499531,https://www.ncbi.nlm.nih.gov/pubmed/38499531,14.7
"Olan, I., Ando-Kuri, M., Parry, A. J., Handa, T., Schoenfelder, S., Fraser, P., Ohkawa, Y., Kimura, H., Narita, M. and Narita, M.",Nat Commun,HMGA1 orchestrates chromatin compartmentalization and sequesters genes into 3D networks coordinating senescence heterogeneity,2024,PMC11319441,39134516,https://www.ncbi.nlm.nih.gov/pubmed/39134516,14.7
"Panja, S., Truica, M. I., Yu, C. Y., Saggurthi, V., Craige, M. W., Whitehead, K., Tuiche, M. V., Al-Saadi, A., Vyas, R., Ganesan, S., Gohel, S., Coffman, F., Parrott, J. S., Quan, S., Jha, S., Kim, I., Schaeffer, E., Kothari, V., Abdulkadir, S. A. and Mitrofanova, A.",Nat Commun,Mechanism-centric regulatory network identifies NME2 and MYC programs as markers of Enzalutamide resistance in CRPC,2024,PMC10774320,38191557,https://www.ncbi.nlm.nih.gov/pubmed/38191557,14.7
"Pavlicev, M., McDonough-Goldstein, C. E., Zupan, A. M., Muglia, L., Hu, Y. C., Kong, F., Monangi, N., Dagdas, G., Zupancic, N., Maziarz, J., Sinner, D., Zhang, G., Wagner, G. and Muglia, L.",Nat Commun,"A common allele increases endometrial Wnt4 expression, with antagonistic implications for pregnancy, reproductive cancers, and endometriosis",2024,PMC10861470,38346980,https://www.ncbi.nlm.nih.gov/pubmed/38346980,14.7
"Perez, R. F., Tezanos, P., Penarroya, A., Gonzalez-Ramon, A., Urdinguio, R. G., Gancedo-Verdejo, J., Tejedor, J. R., Santamarina-Ojeda, P., Alba-Linares, J. J., Sainz-Ledo, L., Roberti, A., Lopez, V., Mangas, C., Moro, M., Cintado Reyes, E., Muela Martinez, P., Rodriguez-Santamaria, M., Ortea, I., Iglesias-Rey, R., Castilla-Silgado, J., Tomas-Zapico, C., Iglesias-Gutierrez, E., Fernandez-Garcia, B., Sanchez-Mut, J. V., Trejo, J. L., Fernandez, A. F. and Fraga, M. F.",Nat Commun,A multiomic atlas of the aging hippocampus reveals molecular changes in response to environmental enrichment,2024,PMC11252340,39013876,https://www.ncbi.nlm.nih.gov/pubmed/39013876,14.7
"Plata-Gomez, A. B., de Prado-Rivas, L., Sanz, A., Deleyto-Seldas, N., Garcia, F., de la Calle Arregui, C., Silva, C., Caleiras, E., Grana-Castro, O., Pineiro-Yanez, E., Krebs, J., Leiva-Vega, L., Munoz, J., Jain, A., Sabio, G. and Efeyan, A.",Nat Commun,Hepatic nutrient and hormone signaling to mTORC1 instructs the postnatal metabolic zonation of the liver,2024,PMC10948770,38499523,https://www.ncbi.nlm.nih.gov/pubmed/38499523,14.7
"Plumber, S. A., Tate, T., Al-Ahmadie, H., Chen, X., Choi, W., Basar, M., Lu, C., Viny, A., Batourina, E., Li, J., Gretarsson, K., Alija, B., Molotkov, A., Wiessner, G., Lee, B. H. L., McKiernan, J., McConkey, D. J., Dinney, C., Czerniak, B. and Mendelsohn, C. L.",Nat Commun,Rosiglitazone and trametinib exhibit potent anti-tumor activity in a mouse model of muscle invasive bladder cancer,2024,PMC11297265,39095358,https://www.ncbi.nlm.nih.gov/pubmed/39095358,14.7
"Podolsky, M. J., Kheyfets, B., Pandey, M., Beigh, A. H., Yang, C. D., Lizama, C. O., Datta, R., Lin, L. L., Wang, Z., Wolters, P. J., McManus, M. T., Qi, L. and Atabai, K.",Nat Commun,Genome-wide screens identify SEL1L as an intracellular rheostat controlling collagen turnover,2024,PMC10879544,38378719,https://www.ncbi.nlm.nih.gov/pubmed/38378719,14.7
"Pucci, P., Lee, L. C., Han, M., Matthews, J. D., Jahangiri, L., Schlederer, M., Manners, E., Sorby-Adams, A., Kaggie, J., Trigg, R. M., Steel, C., Hare, L., James, E. R., Prokoph, N., Ducray, S. P., Merkel, O., Rifatbegovic, F., Luo, J., Taschner-Mandl, S., Kenner, L., Burke, G. A. A. and Turner, S. D.",Nat Commun,Targeting NRAS via miR-1304-5p or farnesyltransferase inhibition confers sensitivity to ALK inhibitors in ALK-mutant neuroblastoma,2024,PMC11039739,38653965,https://www.ncbi.nlm.nih.gov/pubmed/38653965,14.7
"Puri, S., Maachi, H., Nair, G., Russ, H. A., Chen, R., Pulimeno, P., Cutts, Z., Ntranos, V. and Hebrok, M.",Nat Commun,Sox9 regulates alternative splicing and pancreatic beta cell function,2024,PMC10796970,38238288,https://www.ncbi.nlm.nih.gov/pubmed/38238288,14.7
"Rachid Zaim, S., Pebworth, M. P., McGrath, I., Okada, L., Weiss, M., Reading, J., Czartoski, J. L., Torgerson, T. R., McElrath, M. J., Bumol, T. F., Skene, P. J. and Li, X. J.",Nat Commun,MOCHA's advanced statistical modeling of scATAC-seq data enables functional genomic inference in large human cohorts,2024,PMC11316085,39122670,https://www.ncbi.nlm.nih.gov/pubmed/39122670,14.7
"Rather, A. M., Vallabhuneni, S., Pyrch, A. J., Barrubeeah, M., Pillai, S., Taassob, A., Castellano, F. N. and Kota, A. K.",Nat Commun,Color morphing surfaces with effective chemical shielding,2024,PMC11068873,38702308,https://www.ncbi.nlm.nih.gov/pubmed/38702308,14.7
"Razavipour, S. F., Yoon, H., Jang, K., Kim, M., Nawara, H. M., Bagheri, A., Huang, W. C., Shin, M., Zhao, D., Zhou, Z., Van Boven, D., Briegel, K., Morey, L., Ince, T. A., Johnson, M. and Slingerland, J. M.",Nat Commun,"C-terminally phosphorylated p27 activates self-renewal driver genes to program cancer stem cell expansion, mammary hyperplasia and cancer",2024,PMC11183067,38886396,https://www.ncbi.nlm.nih.gov/pubmed/38886396,14.7
"Roehrig, A., Hirsch, T. Z., Pire, A., Morcrette, G., Gupta, B., Marcaillou, C., Imbeaud, S., Chardot, C., Gonzales, E., Jacquemin, E., Sekiguchi, M., Takita, J., Nagae, G., Hiyama, E., Guerin, F., Fabre, M., Aerts, I., Taque, S., Laithier, V., Branchereau, S., Guettier, C., Brugieres, L., Fresneau, B., Zucman-Rossi, J. and Letouze, E.",Nat Commun,Single-cell multiomics reveals the interplay of clonal evolution and cellular plasticity in hepatoblastoma,2024,PMC11001886,38589411,https://www.ncbi.nlm.nih.gov/pubmed/38589411,14.7
"Romero, P., Richart, L., Aflaki, S., Petitalot, A., Burton, M., Michaud, A., Masliah-Planchon, J., Kuhnowski, F., Le Cam, S., Balinas-Gavira, C., Meaudre, C., Luscan, A., Hamza, A., Legoix, P., Vincent-Salomon, A., Wassef, M., Holoch, D. and Margueron, R.",Nat Commun,EZH2 mutations in follicular lymphoma distort H3K27me3 profiles and alter transcriptional responses to PRC2 inhibition,2024,PMC11043461,38658543,https://www.ncbi.nlm.nih.gov/pubmed/38658543,14.7
"Rosenberger, G., Li, W., Turunen, M., He, J., Subramaniam, P. S., Pampou, S., Griffin, A. T., Karan, C., Kerwin, P., Murray, D., Honig, B., Liu, Y. and Califano, A.",Nat Commun,Network-based elucidation of colon cancer drug resistance mechanisms by phosphoproteomic time-series analysis,2024,PMC11082183,38724493,https://www.ncbi.nlm.nih.gov/pubmed/38724493,14.7
"Sasaki, M., Kato, D., Murakami, K., Yoshida, H., Takase, S., Otsubo, T. and Ogiwara, H.",Nat Commun,Targeting dependency on a paralog pair of CBP/p300 against de-repression of KREMEN2 in SMARCB1-deficient cancers,2024,PMC11153594,38839769,https://www.ncbi.nlm.nih.gov/pubmed/38839769,14.7
"Schiller, H., Hong, Y., Kouassi, J., Rados, T., Kwak, J., DiLucido, A., Safer, D., Marchfelder, A., Pfeiffer, F., Bisson, A., Schulze, S. and Pohlschroder, M.",Nat Commun,Identification of structural and regulatory cell-shape determinants in Haloferax volcanii,2024,PMC10869688,38360755,https://www.ncbi.nlm.nih.gov/pubmed/38360755,14.7
"Schiroli, G., Kartha, V., Duarte, F. M., Kristiansen, T. A., Mayerhofer, C., Shrestha, R., Earl, A., Hu, Y., Tay, T., Rhee, C., Buenrostro, J. D. and Scadden, D. T.",Nat Commun,Cell of origin epigenetic priming determines susceptibility to Tet2 mutation,2024,PMC11109152,38773071,https://www.ncbi.nlm.nih.gov/pubmed/38773071,14.7
"Schreurs, Rrce, Koulis, A., Booiman, T., Boeser-Nunnink, B., Cloherty, A. P. M., Rader, A. G., Patel, K. S., Kootstra, N. A. and Ribeiro, C. M. S.",Nat Commun,Autophagy-enhancing ATG16L1 polymorphism is associated with improved clinical outcome and T-cell immunity in chronic HIV-1 infection,2024,PMC10979031,38548722,https://www.ncbi.nlm.nih.gov/pubmed/38548722,14.7
"Scott, M. T., Liu, W., Mitchell, R., Clarke, C. J., Kinstrie, R., Warren, F., Almasoudi, H., Stevens, T., Dunn, K., Pritchard, J., Drotar, M. E., Michie, A. M., Jorgensen, H. G., Higgins, B., Copland, M. and Vetrie, D.",Nat Commun,Activating p53 abolishes self-renewal of quiescent leukaemic stem cells in residual CML disease,2024,PMC10800356,38246924,https://www.ncbi.nlm.nih.gov/pubmed/38246924,14.7
"Serra, F., Nieto-Aliseda, A., Fanlo-Escudero, L., Rovirosa, L., Cabrera-Pasadas, M., Lazarenkov, A., Urmeneta, B., Alcalde-Merino, A., Nola, E. M., Okorokov, A. L., Fraser, P., Graupera, M., Castillo, S. D., Sardina, J. L., Valencia, A. and Javierre, B. M.",Nat Commun,p53 rapidly restructures 3D chromatin organization to trigger a transcriptional response,2024,PMC10984980,38561401,https://www.ncbi.nlm.nih.gov/pubmed/38561401,14.7
"Shendy, N. A. M., Bikowitz, M., Sigua, L. H., Zhang, Y., Mercier, A., Khashana, Y., Nance, S., Liu, Q., Delahunty, I. M., Robinson, S., Goel, V., Rees, M. G., Ronan, M. A., Wang, T., Kocak, M., Roth, J. A., Wang, Y., Freeman, B. B., Orr, B. A., Abraham, B. J., Roussel, M. F., Schonbrunn, E., Qi, J. and Durbin, A. D.",Nat Commun,Group 3 medulloblastoma transcriptional networks collapse under domain specific EP300/CBP inhibition,2024,PMC11045757,38664416,https://www.ncbi.nlm.nih.gov/pubmed/38664416,14.7
"Shi, H., Williams, M. J., Satas, G., Weiner, A. C., McPherson, A. and Shah, S. P.",Nat Commun,Allele-specific transcriptional effects of subclonal copy number alterations enable genotype-phenotype mapping in cancer cells,2024,PMC10954741,38509111,https://www.ncbi.nlm.nih.gov/pubmed/38509111,14.7
"Sim, N., Carter, J. M., Deka, K., Tan, B. K. T., Sim, Y., Tan, S. M. and Li, Y.",Nat Commun,TWEAK/Fn14 signalling driven super-enhancer reprogramming promotes pro-metastatic metabolic rewiring in triple-negative breast cancer,2024,PMC11224303,38965263,https://www.ncbi.nlm.nih.gov/pubmed/38965263,14.7
